id,requirement,category,source_section,source_decision,implementation_intent,owner,estimate_days,phase,dependencies,implementation_status,notes
F-171,Future exam packs,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-172,Exam-version engine,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-173,Cross-exam skill transfer,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-174,B2B multi-tenancy,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-175,White-label persona,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-176,Institution knowledge upload,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-177,Institution roles,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-178,Seat/usage budgets,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-179,Institution analytics,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-180,SSO,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-181,API/webhooks,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-182,LMS integration,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-183,Custom retention,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
F-184,Enterprise audit/support,Expansion & B2B,32-33,UNDECIDED (Accept / Defer / Reject must be signed off),IN SCOPE FOR FULL PROGRAM; deliver according to stage/non-goal gates unless explicitly deferred,Platform/Enterprise,TO VERIFY - developer after repository audit,Stage 4-5,Stable OET core + versioned knowledge-pack architecture,NOT AUDITED,
